id,title,titleKr,artist,tj,ky,series_id,type
4e55cf2a-1936-437b-86a1-2261a1b0b964,"空の箱(井芹仁菜,河原木桃香)",,토게나시 토게아리(トゲナシトゲアリ),52811,XXX,,INSERT
873383ea-9c8c-4b2a-bb7e-c7c4de336ad4,薄采ディスプレイ,,トゲナシトゲアリ,52903,XXX,,INSERT
2053340f-76a7-443a-9a0b-a34a5fd8db67,검정 고무신,,김국환,14356,64948,,INSERT
baf24674-232b-4171-ad00-71d1e516ba94,恋のヒメヒメぺったんこ,,타무라 유카리(田村ゆかり),28315ⓗ,43928,,INSERT
755deb47-f6eb-4474-bbbb-c32c29880644,snow tears,,나카가와 쇼코(中川翔子),28130ⓗ,42652ⓕ,,INSERT
da5869fb-de83-4317-a76d-a3d89790209e,テルーの唄,,테시마 아오이(手嶌葵),27210,42019,,INSERT
eac3ac85-fd55-460f-a4b9-b1f7de14a417,一秒のリフレイン(일초의 리플레인),,오토하(乙葉),26589,XXX,,INSERT
2357d42b-68c7-4c1d-9f3e-685bd161c197,ゲッターロボ!,,사사키 이사오(ささきいさお),25395,XXX,,INSERT
9e63d526-19ba-4722-9fca-35a7cec31c5f,같이 눈사람 만들래?,,"윤시영, 이지민, 박지윤",96458ⓗ,48392,,INSERT
b8c81b77-47b8-47ee-ac5d-07238f95d6bc,다 잊어,,박혜나,47192ⓗ,48389,,INSERT
f9dad811-a388-47a2-8bca-09b8d67f7580,사랑은 열린 문,,"박지윤, 윤승욱",47190ⓗ,48391,,INSERT
066a0d83-a14b-4294-99b1-fbc6af917acc,태어나서 처음으로,,"박지윤, 박혜나",47188ⓗ,48390,,INSERT
586c9c2f-b000-4cf5-ae73-e58179a15848,Do You Want to Build a Snowman?,,Kristen Bell,22568,79328,,INSERT
ed4c164a-bd1d-48d3-9661-e572d29c2438,For the First Time in Forever,,"Kristen Bell, Idina Menzel",22570,79326,,INSERT
c77a46af-0891-4032-b37d-6868d1347c06,Let It Go,,Idina Menzel,22567,79325,,INSERT
ef1420e6-4569-49de-a136-13a8870f86eb,Let It Go,,효린,37989,87876,,INSERT
3cb477ba-de6d-4303-85d0-c0ff609c42e4,Let It Go,,Demi Lovato,22569,XXX,,INSERT
31ec84d5-6bab-4d65-8456-653d8bbd2041,Love Is an Open Door,,"Kristen Bell, Santino Fontana",22571,79327,,INSERT
cf8eb319-b5d6-4f46-89be-fc1e3869ad56,Let It Go～ありのままで～,,마츠 타카코(松たか子),28081ⓗ,43880,,INSERT
e0da2854-0113-41f1-b7ff-e2c109891a9a,生まれてはじめて,,"칸다 사야카, 마츠 타카코(神田沙也加,松たか子)",27697,XXX,,INSERT
680110ae-93c9-4450-814d-40d8d7824406,とびら開けて,,"칸사 사야카, 츠다 에이스케(神田沙也加,津田英佑)",27698,XXX,,INSERT
6cd0fa1c-b598-4247-8e62-bceef2cf897d,雪だるまつくろう,,"칸사 사야카, 이나바 나츠키, 모로호시 스미레(神田沙也加,稲葉菜月,諸すみれ)",27699,XXX,,INSERT
d76c6a26-018c-4526-8560-091ad67cbb70,あこがれの夏,,"피에르,                         타키(ピエール瀧)",27761,XXX,,INSERT
100dc6f0-a91e-424b-8d13-00f33469d7c7,CRUSH GEAR FIGHT!,,JAM Project,25941,42951ⓗ,,INSERT
7333cdd7-ad1a-4a02-8d85-fddbc20ce9a3,ZONE//ALONE,,치하라 미노리(茅原実里),28162ⓗ,43521,,INSERT
4c337572-841d-420d-9c9d-a9a85f6b2bc5,境界の彼方,,치하라 미노리(茅原実里),28291ⓗ,43680,,INSERT
92536485-66e2-4a66-a403-e9fe70d017ce,約束の絆,,요몽토벌대(妖夢討伐隊),68310,44488,,INSERT
45e648ff-cf68-46c6-be7d-a754b0ab38a7,ラブ・ユー・テンダー,,우치다 마아야(内田真礼),68937,75882,,INSERT
cefe7784-4313-4370-afd2-bfa80bec4689,夢ファンファーレ,,LIPxLIP,28928,XXX,,INSERT
9be27171-4f17-44f2-a1aa-76ccccd3cb69,だって今日まで恋煩い,,BMK,44803,68641,,INSERT
5eb33539-8e87-41f5-8f68-5bc5918eae9b,Connexion,,아웃사이더,45192,87000,,INSERT
